Identifier,Disease
DOID:10353,fibrosclerosis of breast
DOID:10352,breast fibroadenosis
DOID:0060769,"t-cell immunodeficiency, congenital alopecia, and nail dystrophy"
DOID:8729,milker's nodule
DOID:0111133,focal segmental glomerulosclerosis 8
DOID:0111132,focal segmental glomerulosclerosis 7
DOID:0111131,focal segmental glomerulosclerosis 6
DOID:0111130,focal segmental glomerulosclerosis 5
DOID:0060768,smith-magenis syndrome
DOID:7241,uterine corpus apoplectic leiomyoma
DOID:7710,obsolete metastatic extraskeletal chondrosarcoma
DOID:7244,bladder urachal urothelial carcinoma
DOID:7245,obsolete metastatic endometrial adenocarcinoma
DOID:12605,obsolete metastasis to adrenals
DOID:12604,obsolete secondary malignant neoplasm of suprarenal gland
DOID:7714,obsolete metastatic malignant hemangiopericytoma
DOID:12603,acute leukemia
DOID:14291,noonan syndrome with multiple lentigines
DOID:14292,vulvar dystrophy
DOID:12608,obsolete staphylococcal pneumonia
DOID:13958,uterine corpus bizarre leiomyoma
DOID:4923,thymus adenocarcinoma
RO:is_a,is_a
DOID:6639,childhood cns choriocarcinoma
DOID:13953,uterine corpus dissecting leiomyoma
DOID:6634,adult central nervous system choriocarcinoma
DOID:13951,uterine corpus epithelioid leiomyoma
DOID:13956,uterine corpus myxoid leiomyoma
DOID:13957,uterine corpus lipoleiomyoma
DOID:13954,obsolete mitotically active variant uterine corpus leiomyoma
DOID:13955,uterus interstitial leiomyoma
DOID:10979,obsolete poliovirus type i nonparalytic poliomyelitis
DOID:10978,obsolete poliovirus type iii nonparalytic poliomyelitis
DOID:1363,ethmoid sinus cancer
DOID:1362,paranasal sinus sarcoma
DOID:1364,ethmoidal sinus benign neoplasm
DOID:10971,acute salpingo-oophoritis
DOID:10970,spastic quadriplegic cerebral palsy
DOID:10973,acute salpingitis
DOID:10972,salpingo-oophoritis
DOID:10974,oophoritis
DOID:10976,membranous glomerulonephritis
DOID:4929,tubular adenocarcinoma
DOID:7907,mixed astrocytoma-ependymoma
DOID:7903,intracranial chondrosarcoma
DOID:7902,adult extraskeletal myxoid chondrosarcoma
DOID:5809,childhood parosteal osteogenic sarcoma
DOID:11002,obsolete iridoschisis
DOID:11003,obsolete pupillary margin miotic cyst
DOID:11000,obsolete progressive iris atrophy
DOID:11001,obsolete iris and ciliary body degeneration
DOID:14784,olivopontocerebellar atrophy
DOID:11005,obsolete atrophy of sphincter of iris
DOID:0110038,alzheimer's disease 6
DOID:262,kidney hemangiopericytoma
DOID:263,kidney cancer
DOID:5806,stork bite
DOID:14332,postencephalitic parkinson disease
DOID:0070368,autosomal recessive chronic granulomatous disease 5
DOID:1586,rheumatic fever
DOID:10348,blepharophimosis
DOID:0070369,restrictive dermopathy 1
DOID:0110488,autosomal recessive nonsyndromic deafness 3
DOID:1509,avoidant personality disorder
DOID:1508,candidiasis
DOID:9948,residual stage corticosteroid-induced glaucoma
DOID:9945,constant exophthalmos
DOID:9946,steroid-induced glaucoma
DOID:9940,"obsolete congenital or acquired abnormality of vulva complicating pregnancy, childbirth, or the puerperium"
DOID:9943,obsolete syphilitic episcleritis
DOID:9942,lymph node disease
DOID:0080833,laryngomalacia
DOID:0060548,luminal breast carcinoma a
DOID:10342,obsolete subchronic latent schizophrenia
DOID:0080831,subjective cognitive decline
DOID:10343,obsolete latent schizophrenia
DOID:0060497,pollen allergy
DOID:0060496,respiratory allergy
DOID:0060495,shellfish allergy
DOID:0060492,chicken egg allergy
DOID:0060491,spoan syndrome
DOID:0060490,schimke immuno-osseous dysplasia
DOID:0080242,syndromic x-linked mental retardation hough type
DOID:0060499,autoimmune neuropathy
DOID:0060498,timothy grass allergy
DOID:0070363,bradyopsia 1
DOID:0080835,torch syndrome
DOID:0080244,galloway-mowat syndrome 2
DOID:0080834,acquired laryngomalacia
DOID:0080245,galloway-mowat syndrome 3
DOID:0060541,hermansky-pudlak syndrome 3
DOID:0070366,nevoid basal cell carcinoma syndrome 2
DOID:0060540,hermansky-pudlak syndrome 2
DOID:14000,rubeosis iridis
DOID:0080711,multisystem inflammatory syndrome in children
DOID:0060543,hermansky-pudlak syndrome 5
DOID:0060542,hermansky-pudlak syndrome 4
DOID:0050608,askin's tumor
DOID:0050605,acrodermatitis enteropathica
DOID:0050604,acrocapitofemoral dysplasia
DOID:0050606,acrokeratosis verruciformis
DOID:0050601,adult syndrome
DOID:0050600,abcd syndrome
DOID:0050603,acheiropody
DOID:0050602,triple-a syndrome
DOID:5628,ampulla of vater adenosquamous carcinoma
DOID:5629,adenosquamous colon carcinoma
DOID:0060547,hermansky-pudlak syndrome 9
DOID:5621,histiocytic and dendritic cell cancer
DOID:5622,obsolete major puerperal infectious disease
DOID:5623,adenosquamous breast carcinoma
DOID:5624,adenosquamous bile duct carcinoma
DOID:5625,esophageal adenosquamous carcinoma
DOID:5626,thymus adenosquamous carcinoma
DOID:5627,adenosquamous gallbladder carcinoma
DOID:9369,orbital plasma cell granuloma
DOID:9368,keratoconjunctivitis
DOID:10519,chronic fungal otitis externa
DOID:10518,beach ear
DOID:829,obsolete crystal arthropathy
DOID:824,periodontitis
DOID:9360,intrinsic asthma
DOID:10510,obsolete influenza virus pneumonia
DOID:820,myocarditis
DOID:10516,malignant otitis externa
DOID:823,periapical periodontitis
DOID:0112206,developmental and epileptic encephalopathy 70
DOID:0050469,costello syndrome
DOID:0050468,yellow nail syndrome
DOID:0050461,aspartylglucosaminuria
DOID:0050460,wolf-hirschhorn syndrome
DOID:0050463,campomelic dysplasia
DOID:0050462,antley-bixler syndrome with disordered steroidogenesis
DOID:0050465,muir-torre syndrome
DOID:0050464,farber lipogranulomatosis
DOID:0050467,erythrokeratodermia variabilis
DOID:0050466,loeys-dietz syndrome
DOID:0111398,congenital dyserythropoietic anemia type ia
DOID:4118,colon neuroendocrine neoplasm
DOID:4281,metatypical basal cell carcinoma
DOID:4280,nodular basal cell carcinoma
DOID:4283,anal margin basal cell carcinoma
DOID:4282,pigmented basal cell carcinoma
DOID:4285,"obsolete complications of pregnancy, childbirth and the puerperium"
DOID:4284,anal margin carcinoma
DOID:4287,external ear basal cell carcinoma
DOID:4286,skin nasal cell carcinoma with sebaceous differentiation
DOID:4289,micronodular basal cell carcinoma
DOID:4288,external ear carcinoma
DOID:0081100,spastic paraplegia with deafness
DOID:0081101,nonautoimmune hyperthyroidism
DOID:0081102,familial gestational hyperthyroidism
DOID:0081104,hot water epilepsy
DOID:0081105,keratosis palmoplantaris striata
DOID:0081106,hot water epilepsy 1
DOID:0081107,hot water epilepsy 2
DOID:0081108,keratosis palmoplantaris striata 1
DOID:0081109,keratosis palmoplantaris striata 2
DOID:0110594,primary ciliary dyskinesia 1
DOID:4430,somatostatinoma
DOID:0080270,autosomal dominant nonsyndromic deafness 34
DOID:3459,breast carcinoma
DOID:3458,breast adenocarcinoma
DOID:3109,idiopathic cd4-positive t-lymphocytopenia
DOID:3108,ascaridiasis
DOID:3103,thoracic outlet syndrome
DOID:3450,cutaneous paget's disease
DOID:3101,obsolete primary mycoplasmatales infectious disease
DOID:3100,obsolete ureaplasma urealyticum urethritis
DOID:3107,toxascariasis
DOID:3106,obsolete nematoda infectious disease
DOID:3457,invasive lobular carcinoma
DOID:3456,cervix erosion
DOID:2859,hemoglobin c disease
DOID:2856,euthyroid sick syndrome
DOID:2857,obsolete abscess of thyroid
DOID:2855,hyperthyroxinemia
DOID:2853,obsolete atrophy of thyroid
DOID:12852,obsolete adhesions of drum head to incus
DOID:12853,obsolete adhesions of drum head to promontorium
DOID:12854,obsolete adhesions of drum head to stapes
DOID:12857,achilles bursitis
DOID:12858,huntington's disease
DOID:12859,choreatic disease
DOID:11390,cerebral arteritis
DOID:11396,pulmonary edema
DOID:11394,adult respiratory distress syndrome
DOID:0070023,autosomal dominant dyskeratosis congenita 6
DOID:0070022,autosomal recessive dyskeratosis congenita 5
DOID:0070021,autosomal recessive dyskeratosis congenita 4
DOID:0070020,autosomal dominant dyskeratosis congenita 4
DOID:0070027,cst3-related cerebral amyloid angiopathy
DOID:0070026,revesz syndrome
DOID:0070025,x-linked dyskeratosis congenita
DOID:0070457,hereditary spastic paraplegia 88
DOID:0110750,type 1 diabetes mellitus 11
DOID:0110751,type 1 diabetes mellitus 12
DOID:0070029,itm2b-related cerebral amyloid angiopathy 1
DOID:0070028,app-related cerebral amyloid angiopathy
DOID:0110754,type 1 diabetes mellitus 17
DOID:0080974,intracranial berry aneurysm 11
DOID:0110756,type 1 diabetes mellitus 19
DOID:0110757,type 1 diabetes mellitus 20
DOID:0080975,intracranial berry aneurysm 12
DOID:1044,obsolete nontraumatic rupture of muscle
DOID:0080972,intracranial berry aneurysm 9
DOID:0080973,intracranial berry aneurysm 10
DOID:7224,spinal meninges cancer
DOID:7222,gallbladder pleomorphic giant cell adenocarcinoma
DOID:0080970,intracranial berry aneurysm 7
DOID:7221,gallbladder papillary carcinoma
DOID:0080971,intracranial berry aneurysm 8
DOID:11547,corneal deposit
DOID:13891,bird fancier's lung
DOID:2279,obsolete joint derangement
DOID:8568,infectious mononucleosis
DOID:2272,vulvovaginal candidiasis
DOID:2273,vulvovaginitis
DOID:8566,herpes simplex
DOID:2271,obsolete oropharyngeal candidiasis
DOID:8560,obsolete carcinoma in situ of breast and genitourinary system
DOID:2277,gonadal disease
DOID:2275,pharyngitis
DOID:0080978,arthrogryposis multiplex congenita-1
DOID:0080979,arthrogryposis multiplex congenita-3
DOID:0060398,"chromosome 16p11.2 deletion syndrome, 220-kb"
DOID:0060399,chromosome 16p12.1 deletion syndrome
DOID:0060390,distal 10q deletion syndrome
DOID:0060391,chromosome 13q14 deletion syndrome
DOID:0060392,chromosome 14q11-q22 deletion syndrome
DOID:0060393,chromosome 15q11.2 deletion syndrome
DOID:0060394,chromosome 15q13.3 microdeletion syndrome
DOID:0060395,chromosome 15q24 deletion syndrome
DOID:0060396,chromosome 15q25 deletion syndrome
DOID:0060397,chromosome 15q26-qter deletion syndrome
DOID:7739,obsolete human papilloma virus related penile squamous cell carcinoma
DOID:7731,childhood malignant hemangiopericytoma
DOID:7732,childhood malignant schwannoma
DOID:7733,signet ring cell intrahepatic cholangiocarcinoma
DOID:7735,pancreatic colloid cystadenoma
DOID:7736,retinal telangiectasia
DOID:6179,ovarian small cell carcinoma
DOID:6178,obsolete metastatic ovarian small cell carcinoma with hypercalcemia
DOID:6171,uterine carcinosarcoma
DOID:6170,ovarian carcinosarcoma
DOID:6175,mediastinal neurilemmoma
DOID:6174,obsolete sporadic conventional renal cell carcinoma
DOID:0111937,immunodeficiency 22
DOID:0111936,immunodeficiency 14
DOID:0111935,immunodeficiency 16
DOID:0111934,immunodeficiency 38
DOID:0111933,phosphoglycerate kinase 1 deficiency
DOID:0111932,severe congenital encephalopathy due to mecp2 mutation
DOID:0111931,syndactyly-telecanthus-anogenital and renal malformations syndrome
DOID:0111930,spermatogenic failure 29
DOID:0111939,immunodeficiency 37
DOID:0111938,immunodeficiency 24
DOID:1776,labyrinthine unilateral reactive loss
DOID:1777,unilateral hyperactive labyrinth
DOID:1770,toxic megacolon
DOID:0070499,mitochondrial complex iv deficiency nuclear type 14
DOID:3635,congenital myasthenic syndrome
DOID:3982,meige syndrome
DOID:3637,childhood spinal cord tumor
DOID:3636,obsolete commensal desulfovibrionaceae infectious disease
DOID:0060538,purpura fulminans
DOID:0060539,hermansky-pudlak syndrome 1
DOID:0070319,miliaria pustulosa
DOID:11524,obsolete hyphema of iris and ciliary body
DOID:0060534,hepatoid adenocarcinoma
DOID:0060535,warsaw breakage syndrome
DOID:0060536,mitochondrial complex i deficiency
DOID:0060537,mitochondrial complex ii deficiency
DOID:0060530,snail allergy
DOID:0060531,horned turban snail allergy
DOID:0060532,latex allergy
DOID:14006,splenic artery aneurysm
DOID:3633,beta-mannosidosis
DOID:14001,"obsolete diabetes mellitus insulin dependent type, uncontrolled, with peripheral circulatory disorder"
DOID:3984,obsolete strongylus equinus infectious disease
DOID:11520,benign hypertensive renal disease
DOID:10441,marginal corneal ulcer
DOID:11523,obsolete clostridium perfringens gastroenteritis
DOID:10440,mycotic corneal ulcer
DOID:10443,hypopyon
DOID:10442,hypopyon ulcer
DOID:0090108,autosomal dominant hypocalcemia 2
DOID:0090109,autosomal dominant hypocalcemia
DOID:0090106,bh4-deficient hyperphenylalaninemia a
DOID:0090107,autosomal dominant hypocalcemia 1
DOID:0090104,huntington's disease-like 2
DOID:0090105,autosomal recessive hypercholesterolemia
DOID:0090102,autosomal dominant macrothrombocytopenia tubb1-related
DOID:0090103,huntington's disease-like 1
DOID:0090100,ocular albinism with sensorineural deafness
DOID:0090101,lethal congenital glycogen storage disease of heart
DOID:10447,"obsolete thyroid dysfunction complicating pregnancy, childbirth, or the puerperium"
DOID:13273,obsolete escherichia coli pneumonia
DOID:5772,central nervous system hematologic cancer
DOID:5773,oral submucous fibrosis
DOID:1192,peripheral nervous system neoplasm
DOID:0080395,orofacial cleft 1
DOID:1195,ischemic neuropathy
DOID:5771,obsolete mycobacterium avium complex lymphadenitis
DOID:13272,klebsiella pneumonia
DOID:1856,cherubism
DOID:9552,obsolete adrenal gland hypofunction
DOID:4705,obsolete childhood brain tumor
DOID:4870,lacrimal gland adenoid cystic carcinoma
DOID:4707,cervicomedullary junction neoplasm
DOID:4876,trachea carcinoma
DOID:4877,breast adenoid cystic carcinoma
DOID:4702,mongolian spot
DOID:4875,trachea adenoid cystic carcinoma
DOID:11947,obsolete recurrent major depression in complete remission
DOID:9889,obsolete alternating esotropia with a pattern
DOID:11945,obsolete trichomonas cystitis
DOID:4879,bartholin's gland adenoid cystic carcinoma
DOID:11943,obsolete trichomonas vaginitis
DOID:14717,centronuclear myopathy
DOID:0050810,biotin deficiency
DOID:0050811,congenital adrenal hyperplasia
DOID:0050812,"spondyloepimetaphyseal dysplasia, pakistani type"
DOID:3737,verrucous carcinoma
DOID:3730,obsolete pneumonic pasteurellosis
DOID:3731,obsolete primary pasteurellaceae infectious disease
DOID:3732,obsolete bovine respiratory disease complex
DOID:0050817,stargardt disease
DOID:0050818,transcobalamin ii deficiency
DOID:0050819,obsolete matthew-wood syndrome
DOID:0110160,charcot-marie-tooth disease axonal type 2t
DOID:3739,obsolete human papillomavirus related squamous cell carcinoma
DOID:10967,spastic hemiplegia
DOID:1992,rectum malignant melanoma
DOID:1993,rectum cancer
DOID:1990,obsolete metastasis to the rectum
DOID:1991,obsolete metastases to large intestine
DOID:1996,rectum adenocarcinoma
DOID:10964,cholesteatoma of middle ear
DOID:1995,rectum sarcoma
DOID:1998,lutembacher's syndrome
DOID:1999,chronic eustachian salpingitis
DOID:5479,papillary adenofibroma
