Identifier,Disease
common variable immunodeficiency 8,{DOID:0081151}
short syndrome,{DOID:0111454}
common variable immunodeficiency 3,{DOID:0081146}
common variable immunodeficiency 2,{DOID:0081145}
common variable immunodeficiency 1,{DOID:0081144}
common variable immunodeficiency 7,{DOID:0081150}
common variable immunodeficiency 6,{DOID:0081149}
common variable immunodeficiency 5,{DOID:0081148}
common variable immunodeficiency 4,{DOID:0081147}
maduromycosis,{DOID:13078}
pulmonary artery malignant neoplasm,{DOID:175}
"amylo 1,6 glucosidase deficiency",{DOID:2748}
primary myelofibrosis,{DOID:4971}
oligodendroglial neoplasm,{DOID:3181}
infected hydrocele,{DOID:9911}
urinary schistosomiasis,{DOID:1394}
mosquito-borne hemorrhagic fever (disorder),{DOID:1301}
metabolic dysfunction-associated steatohepatitis,{DOID:0080547}
moniliform hamartoma (disorder),{DOID:6807}
craniofacial dysostosis,{DOID:2339}
syndromic x-linked intellectual disability snyder type,{DOID:0060802}
adult-onset gm1 gangliosidosis,{DOID:0080489}
perinatal necrotizing enterocolitis,{DOID:8677}
"mental retardation, x-linked 3",{DOID:0111814}
obsolete vitamin a deficiency with keratomalacia,{DOID:11268}
testis disorder,{DOID:2519}
beare-stevenson cutis gyrata syndrome,{DOID:0050660}
childhood choroid plexus cancer,{DOID:3545}
congenital sucrase-isomaltose malabsorption,{DOID:0111633}
amyotrophic lateral sclerosis type 14,{DOID:0060205}
foxp1 haploinsufficiency,{DOID:0111331}
tomato allergy,{DOID:0060512}
3-methylglutaconicaciduria type ii,{DOID:0050476}
spinocerebellar ataxia type 27,{DOID:0050976}
bsnd,{DOID:0110145}
acoustic nerve disease,{DOID:12657}
cervical benign neoplasm,{DOID:0060110}
sedn,{DOID:0112288}
autoimmune polyendocrine syndrome,{DOID:14040}
sedk,{DOID:0112282}
charcot-marie-tooth disease type 4b1,{DOID:0110191}
spondylogenic compression of cervical spinal cord,{DOID:6604}
"scapuloperoneal syndrome, neurogenic, kaeser type",{DOID:0111551}
inverted papilloma of the ethmoid sinus,{DOID:6562}
pulmonary adenocarcinoma in situ,{DOID:0050870}
petrous apex meningioma,{DOID:7482}
clear cell cystadenofibroma,{DOID:5895}
viral infection,{DOID:934}
pentothiobarbital allergy,{DOID:0040018}
nephrogenic diabetes insipidus,{DOID:12387}
obsolete meningococcal optic neuritis,{DOID:2514}
n-sulphoglucosamine sulphohydrolase deficiency,{DOID:12801}
opitz trigonocephaly syndrome,{DOID:0111581}
male reproductive system disease,{DOID:48}
autoimmune neuropathy,{DOID:0060499}
benzoic acid allergic contact dermatitis,{DOID:0040057}
fif,{DOID:0111349}
carey-fineman-ziter syndrome,{DOID:0080194}
vaginal spindle cell epithelioma,{DOID:6505}
intrachromosomal amplification of chromosome 21 (iamp21),{DOID:0080651}
fih,{DOID:0111387}
autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial ifngammar1 deficiency,{DOID:0111955}
fim,{DOID:0110671}
obsolete erysipelothrix rhusiopathiae infectious disease,{DOID:2471}
small cell carcinoma,{DOID:0050685}
autosomal recessive spastic paraplegia type 45,{DOID:0110797}
obsolete atypical mycobacterium infectious disease,{DOID:412}
multisystem proteinopathy 1,{DOID:0111385}
multisystem proteinopathy 3,{DOID:0111386}
multisystem proteinopathy 2,{DOID:0111384}
multisystem proteinopathy 6,{DOID:0081121}
warbm1,{DOID:0110716}
warbm3,{DOID:0110718}
warbm2,{DOID:0110717}
warbm4,{DOID:0110719}
rectal cancer,{DOID:1993}
pancreatic vip producing tumour,{DOID:5741}
hyaline body myopathy,{DOID:0111267}
gordon holmes syndrome,{DOID:0111587}
familial hyperthyroidism due to inappropriate thyrotropin secretion,{DOID:0111374}
malignant phyllodes neoplasm,{DOID:3016}
renal cortical necrosis,{DOID:2973}
presenile gangrene,{DOID:12918}
amyotrophic lateral sclerosis,{DOID:332}
"eclampsia, postpartum",{DOID:13593}
lung leiomyosarcoma,{DOID:5265}
ischemic colitis,{DOID:0060181}
gummata of yaws,{DOID:10567}
inclusion body myopathy with paget disease of bone and frontotemporal dementia,{DOID:0050881}
clivus chondroid chordoma,{DOID:6313}
labia minora cancer,{DOID:1243}
congenital vascular naevus,{DOID:2725}
amelogenesis imperfecta hypomaturation type 2a3,{DOID:0110061}
obsolete adult leiomyosarcoma,{DOID:5291}
velocardiofacial syndrome,{DOID:12583}
retinal vein occlusion,{DOID:1727}
acquired dyslexia,{DOID:13417}
obsolete diabetic nephropathy,{DOID:2370}
mody type 8,{DOID:0111105}
nephrotic syndrome with lesion of minimal change glomerulonephritis,{DOID:10966}
obsolete vibrio infectious disease,{DOID:1499}
obsolete parasitic stramenopiles infectious disease,{DOID:0050247}
tumor of retroperitoneum,{DOID:5875}
acute necrotizing encephalitis,{DOID:5222}
obsolete malignant hemangiopericytoma recurrent,{DOID:8234}
obsolete caliciviridae infectious disease,{DOID:4091}
obsolete primitive neuroectodermal tumor with leptomeningeal spread,{DOID:4786}
beta-thalassemia major,{DOID:0080771}
secernentea infectious disease,{DOID:1078}
acute myeloid leukemia with biallelic mutation of cebpa,{DOID:0081090}
feps3,{DOID:0111731}
moderate recurrent major depression (disorder),{DOID:13063}
obsolete metastatic epithelioid sarcoma,{DOID:8286}
x-linked cleft palate and ankyloglossia,{DOID:0060613}
neoplasm of peripheral nerve,{DOID:1192}
polycythemia due to excess erythopoetin production,{DOID:2839}
pericardial tamponade,{DOID:115}
septicemia due to serratia,{DOID:2563}
malignant splenic tumor,{DOID:672}
digital papillary adenocarcinoma,{DOID:5591}
charcot-marie-tooth neuropathy type 2cc,{DOID:0110180}
x-linked angelman-like syndrome,{DOID:0060825}
feingold syndrome,{DOID:0060464}
cardiac arrest,{DOID:0060319}
western equine encephalitis,{DOID:10843}
medullomyoblastoma,{DOID:3861}
insulin-dependent diabetes mellitus 19,{DOID:0110756}
insulin-dependent diabetes mellitus 18,{DOID:0110755}
nervus intermedius neuralgia,{DOID:9210}
short gut syndrome,{DOID:10605}
balkan endemic nephropathy,{DOID:3052}
insulin-dependent diabetes mellitus 11,{DOID:0110750}
insulin-dependent diabetes mellitus 10,{DOID:0110749}
insulin-dependent diabetes mellitus 13,{DOID:0110752}
insulin-dependent diabetes mellitus 12,{DOID:0110751}
solitary plasmacytoma of the chest wall,{DOID:3723}
insulin-dependent diabetes mellitus 17,{DOID:0110754}
ankylosis of hand joint,{DOID:381}
eds 5,{DOID:0111765}
multiple system tauopathy with presenile dementia,{DOID:9255}
reticular pattern testicular yolk sac tumor,{DOID:8392}
salmonellosis (& [gastroenteritis] or [food poisoning]),{DOID:11092}
parasitic helminthiasis infectious disease,{DOID:883}
multilocular hydatid,{DOID:12148}
myositis,{DOID:633}
van maldergem syndrome 1,{DOID:0080585}
van maldergem syndrome 2,{DOID:0080586}
xpbc,{DOID:0110850}
periodontitis,{DOID:824}
hodgkin's sarcoma of lymph nodes of axilla and upper limb (disorder),{DOID:9033}
"glycogen storage disease, type iii",{DOID:2748}
beta-ketothiolase deficiency,{DOID:14723}
obsolete anaplastic malignant intracranial meningioma,{DOID:7025}
central nervous system kaposi's sarcoma,{DOID:8632}
pfhb1b,{DOID:0111076}
rpl26-related diamond-blackfan anemia,{DOID:0111892}
adenocarcinoma of the sebaceous gland,{DOID:4839}
zika fever,{DOID:0060478}
refractory hematologic cancer,{DOID:712}
secondary cardiomyopathy nos,{DOID:12936}
dark dot disease,{DOID:0060256}
melanotic malignant peripheral nerve sheath tumor,{DOID:6345}
pancreatic hypoplasia-diabetes-congenital heart disease syndrome,{DOID:0111733}
amelogenesis imperfecta hypomaturationtype with snow-capped teeth,{DOID:0110058}
eccrine spiradenoma of skin,{DOID:5444}
livedoid vasculopathy,{DOID:0040099}
venous varices,{DOID:799}
hepatobiliary system cancer,{DOID:0080355}
thymic epithelial hypoplasia,{DOID:0060013}
gonococcal synovitis,{DOID:13454}
non-ketotic hyperglycinemia,{DOID:9268}
autosomal dominant benign erythrocytosis,{DOID:0060652}
malignant ovarian brenner tumor,{DOID:4217}
cataract 16 multiple types,{DOID:0110250}
acute chemical pulmonary edema,{DOID:551}
"tuberculosis of skin and subcutaneous cellular tissue, unspecified examination",{DOID:398}
hemorrhagic dystrophic thrombocytopenia,{DOID:2217}
adenosquamous cell carcinoma of the cervix uteri,{DOID:5636}
feline influenza,{DOID:0050084}
chorioretinal dysplasia-microcephaly-mental retardation syndrome,{DOID:0060349}
glutathione synthetase deficiency without 5-oxoprolinuria,{DOID:0112252}
obsolete intramucosal adenocarcinoma colon adenoma,{DOID:3028}
prostate oat cell carcinoma,{DOID:7141}
non-mucinous bronchoalveolar lung carcinoma,{DOID:5358}
thymus large cell carcinoma,{DOID:4553}
smed short limb-hand type,{DOID:0112196}
gonococcal cervicitis,{DOID:10615}
non-insulin-dependent diabetes mellitus,{DOID:9352}
"single major depressive episode, in full remission (disorder)",{DOID:1469}
syndromic x-linked mental retardation jarid1c-related,{DOID:0060809}
meningioma of the foramen magnum,{DOID:4708}
obsolete perinatal respiratory disorder,{DOID:11091}
tortuosity of retinal arteries,{DOID:0111547}
szary's disease of spleen (disorder),{DOID:8626}
obsolete rhesus isoimmunisation affecting management of mother,{DOID:9530}
nonprogressive cerebellar ataxia with mental retardation,{DOID:0050998}
primary thrombocytopenic purpura,{DOID:8924}
ureteric calculus,{DOID:14146}
peyronie's fibromatosis,{DOID:8616}
"congenital adrenal hyperplasia, nos",{DOID:12255}
irradiation cystitis,{DOID:7127}
"gonococcal cervicitis, chronic",{DOID:1512}
eye carcinoma in situ,{DOID:8792}
kleptomania,{DOID:12400}
csf1r-related brain malformation and osteopetrosis,{DOID:0070343}
primary immunodeficiency disease,{DOID:612}
greig cephalopolysyndactyly syndrome,{DOID:14761}
nafld,{DOID:0080208}
"hodgkin's disease, lymphocytic depletion of lymph nodes of axilla and upper limb (disorder)",{DOID:9052}
obsolete ovarian dermoid cyst with adenocarcinoma,{DOID:6327}
obsolete sclerosing mucoepidermoid thyroid carcinoma with eosinophilia,{DOID:8131}
rainbow trout allergy,{DOID:0060518}
benign hypertensive heart disease nos (disorder),{DOID:1954}
formiminoglutamic aciduria,{DOID:0111679}
x-linked intellectual disability-craniofacial dysmorphism-epilepsy-ophthalmoplegia-cerebellar atrophy syndrome,{DOID:0060825}
diffuse sclerosis,{DOID:10588}
french canadian leigh disease,{DOID:0111180}
cts - carpal tunnel syndrome,{DOID:12169}
malignant pericardial mesothelioma,{DOID:6201}
hereditary expansile polyostotic osteolytic dysplasia,{DOID:0111542}
obsolete anaplastic renal wilms' tumor,{DOID:5185}
pmp2-related charcot-marie-tooth neuropathy type 1,{DOID:0111560}
nervous system benign neoplasm,{DOID:0060115}
"malignant neoplasm of meninges, unspecified (disorder)",{DOID:5073}
obsolete autosomal dominant limb-girdle muscular dystrophy type 1a,{DOID:0110300}
obsolete autosomal dominant limb-girdle muscular dystrophy type 1c,{DOID:0110302}
obsolete autosomal dominant limb-girdle muscular dystrophy type 1b,{DOID:0110301}
obsolete metastatic tumor to the testis,{DOID:12254}
bh4-deficient hyperphenylalaninemia b,{DOID:0112225}
pharyngeal pouch syndrome,{DOID:11198}
irritant asthma,{DOID:0080819}
erosion of cervix,{DOID:3456}
diffuse large b-cell lymphoma activated b-cell type,{DOID:0080996}
autonomic nervous system benign neoplasm,{DOID:0080321}
creutzfeldt jacob syndrome,{DOID:11949}
complete generalized lipodystrophy,{DOID:0080298}
thyroid nodule,{DOID:14313}
infantile encephaloneuromyopathy due to mitochondrial translation defect,{DOID:0111481}
platelet glycoprotein iv deficiency,{DOID:0111046}
ovarian benign neoplasm,{DOID:0060112}
bleeding oesophageal varices,{DOID:112}
ethmoid sinus adenoid cystic carcinoma,{DOID:2764}
burkitt's lymphoma of lymph nodes of multiple sites (disorder),{DOID:9010}
spondylocarpotarsal synostosis,{DOID:0090116}
cdg2s,{DOID:0112002}
desanto-shinawi syndrome,{DOID:0081126}
cdg2q,{DOID:0070269}
connective tissue cancer,{DOID:201}
generalized tuberculosis,{DOID:9861}
cdg2c,{DOID:0070255}
cdg2b,{DOID:0070254}
lymphoproliferative syndrome,{DOID:0060704}
cdg2g,{DOID:0070259}
cdg2f,{DOID:0070258}
cdg2e,{DOID:0070257}
cdg2d,{DOID:0070256}
cdg2k,{DOID:0070263}
cdg2j,{DOID:0070262}
cdg2i,{DOID:0070261}
cdg2h,{DOID:0070260}
cdg2o,{DOID:0070267}
cdg2n,{DOID:0070266}
cdg2l,{DOID:0070264}
benign joint hypermobility,{DOID:13781}
disseminated eosinophilic collagen disease,{DOID:9499}
acute ethmoid sinusitis,{DOID:9506}
"vertigo, vestibular disorder",{DOID:3426}
cuticular drusen,{DOID:0060746}
bartholin's cyst,{DOID:851}
musculoskeletal system disease,{DOID:17}
external ear disease,{DOID:379}
obsolete glomerular vascular disorder,{DOID:2976}
childhood mediastinal neurogenic tumour,{DOID:4690}
heredopathia ophthalmootoencephalica,{DOID:0070030}
mps1-h,{DOID:0111390}
postnatal asphyxia,{DOID:11088}
fatal familial insomnia,{DOID:0050433}
epidermolysis bullosa dystrophica,{DOID:4959}
melanoma of the choroid,{DOID:6438}
mesenchymal tissue malignant neoplasm,{DOID:201}
posterior myocardial infarction,{DOID:5847}
autosomal recessive cutis laxa type iic,{DOID:0070140}
autosomal recessive cutis laxa type iib,{DOID:0070137}
autosomal recessive cutis laxa type iia,{DOID:0070134}
acro-osteolysis,{DOID:0050525}
autosomal recessive cutis laxa type iid,{DOID:0070129}
leiomyomatosis peritonealis disseminata,{DOID:5728}
chronic tonsillitis,{DOID:10456}
autosomal recessive cutis laxa type iii,{DOID:0070143}
imd15b,{DOID:0111959}
imd15a,{DOID:0111960}
benign phyllodes neoplasm of the breast,{DOID:1631}
mendelian susceptibility to mycobacterial diseases due to complete il12b deficiency,{DOID:0111950}
respiratory insufficiency/failure,{DOID:11162}
eccrine sweat gland neoplasm,{DOID:173}
adrenal cortex adenocarcinoma,{DOID:3959}
dyskinesia of oesophagus,{DOID:9192}
peritonsillar abscess,{DOID:12765}
obsolete pulmonary capillariasis,{DOID:0050232}
steichen-gersdorf type mesomelic dysplasia,{DOID:0112383}
cataract 34 multiple types with or without microcornea,{DOID:0110230}
myopathy with extrapyramidal signs,{DOID:0111335}
glycine n-methyltransferase deficiency,{DOID:0111037}
astroblastoma,{DOID:7305}
neurogenic urinary bladder disorder,{DOID:12143}
amelogenesis imperfecta hypomaturation type iia5,{DOID:0110063}
amelogenesis imperfecta hypomaturation type iia4,{DOID:0110062}
amelogenesis imperfecta hypomaturation type iia3,{DOID:0110061}
amelogenesis imperfecta hypomaturation type iia2,{DOID:0110060}
solitary intraductal breast papilloma,{DOID:8224}
malignant granular cell tumor of skin,{DOID:7639}
hypomyelination-congenital cataract syndrome,{DOID:0060793}
congenital rubella syndrome,{DOID:9228}
benign tumor of mesothelium,{DOID:2645}
halasz syndrome,{DOID:4297}
nonpigmented nevus,{DOID:5107}
cowden disease,{DOID:6457}
spondyloepiphyseal dysplasia tarda with intellectual disability,{DOID:0112292}
distal monosomy 3p,{DOID:0060417}
autosomal recessive optic atrophy plus syndrome,{DOID:0110004}
spinal canal and spinal cord meningioma,{DOID:1140}
mrxssd,{DOID:0060812}
"polyhydramnios, megalencephaly, and symptomatic epilepsy",{DOID:0070511}
obsolete malignant neoplasm of short bones of upper limb,{DOID:2777}
distal arthrogryposis type iib,{DOID:0111608}
ludwig angina,{DOID:4558}
"supratentorial ependymoma, zfta fusion–positive",{DOID:0081252}
malignant neoplasm of lacrimal gland,{DOID:294}
lung sarcomatoid carcinoma,{DOID:0080777}
intestinal infectious disease due to pseudomonas,{DOID:10277}
meningioma of lumbar spinal canal and spinal cord,{DOID:7515}
bile duct adenocarcinoma,{DOID:4896}
"epileptic seizures, tonic-clonic",{DOID:7725}
geographic tongue and fissured tongue,{DOID:11514}
cataract 38,{DOID:0110245}
enhanced s-cone syndrome,{DOID:0090059}
endodermal sinus tumor,{DOID:1911}
hypoxanthine guanine phosphoribosyltransferase deficiency,{DOID:1919}
obsolete metastasis to the neck,{DOID:2874}
carpenter syndrome,{DOID:0060234}
syphilis,{DOID:4166}
polyp - middle ear,{DOID:7439}
echinostomiasis,{DOID:1218}
hodgkin's paragranuloma of intrathoracic lymph nodes (disorder),{DOID:9067}
exudative cyst of pars plana (disorder),{DOID:12879}
frontotemporal dementia and/or amyotrophic lateral sclerosis 3,{DOID:0110068}
frontotemporal dementia and/or amyotrophic lateral sclerosis 2,{DOID:0060214}
frontotemporal dementia and/or amyotrophic lateral sclerosis 1,{DOID:0060213}
rapid eye movement sleep behaviour disorder,{DOID:9091}
gammaherpesviral mononucleosis,{DOID:8568}
chronic hypomanic personality disorder,{DOID:11696}
"hodgkin's disease, nodular sclerosis of intrathoracic lymph nodes (disorder)",{DOID:9157}
mite-born hemorrhagic fever,{DOID:1301}
larsen-like syndrome b3gat3 type,{DOID:0080575}
hsmn - hereditary sensory and motor neuropathy,{DOID:2477}
"hyperlipoproteinemia, type ib",{DOID:0111418}
adem,{DOID:639}
central saccular cataract with sutural opacities,{DOID:0110254}
lymphogranuloma venereum,{DOID:13819}
neutrophil immunodeficiency syndrome,{DOID:0112064}
clostridial infection,{DOID:3584}
obsolete primary erysipelotrichaceae infectious disease,{DOID:0050314}
postpartum coagulation defect with delivery,{DOID:1247}
infectious disease by gnathostoma,{DOID:11379}
obsolete alternating exotropia with v pattern,{DOID:1141}
papillary carcinoma of the breast,{DOID:5592}
bamforth-lazarus syndrome,{DOID:0050655}
obsolete relapsed angiosarcoma,{DOID:4502}
colobomatous microphthalmia-rhizomelic dysplasia syndrome,{DOID:0111802}
glutaric academia type 1,{DOID:0111254}
ancylostomiasis due to ancylostoma braziliense,{DOID:13047}
autosomal recessive chronic granulomatous disease 1,{DOID:0070192}
autosomal recessive chronic granulomatous disease 2,{DOID:0070191}
autosomal recessive chronic granulomatous disease 3,{DOID:0070194}
autosomal recessive chronic granulomatous disease 4,{DOID:0070193}
autosomal recessive chronic granulomatous disease 5,{DOID:0070368}
thrombophilia due to thrombomodulin defect,{DOID:0111908}
mga7,{DOID:0110003}
mga5,{DOID:0110000}
mga4,{DOID:0110006}
mga3,{DOID:0110004}
mga1,{DOID:0110002}
collagen hamartoma (morphologic abnormality),{DOID:6715}
wilkie's syndrome,{DOID:3557}
xanthogranulomatous pyelonephritis,{DOID:11401}
galloway syndrome,{DOID:0060364}
crystal arthropathy of shoulder region (disorder),{DOID:829}
neonatal-onset multisystem inflammatory disease,{DOID:0090029}
nevus of ito,{DOID:3156}
uterine corpus mucinous adenocarcinoma,{DOID:3707}
anal ulcer,{DOID:3128}
n1 diffuse large b-cell lymphoma,{DOID:0081067}
hmcs,{DOID:0111255}
"obsolete hodgkin's lymphoma, lymphocytic depletion, involving intrapelvic lymph nodes",{DOID:8979}
intestinal moniliasis,{DOID:13528}
pneumonia due to mycoplasma pneumoniae,{DOID:13276}
branchiootorenal syndrome 1,{DOID:0111423}
myxoid glioneuronal tumor,{DOID:0081285}
neonatal hyperbilirubinemia,{DOID:2383}
littre gland carcinoma,{DOID:6721}
"intrauterine growth restriction, metaphyseal dysplasia, adrenal hypoplasia congenita, genital abnormalities",{DOID:0050885}
reticulohistiocytic granuloma,{DOID:4394}
syphilis of kidney (disorder),{DOID:11096}
obsolete autosomal dominant endosteal hyperostosis,{DOID:0111372}
gastroparesis,{DOID:11914}
cerebral cavernous malformation 2,{DOID:0060670}
cerebral cavernous malformation 3,{DOID:0060671}
head and neck squamous cell carcinoma,{DOID:5520}
common bile duct disease,{DOID:4137}
nephrosis-microcephaly syndrome,{DOID:0060364}
ebs-og,{DOID:0060736}
obsolete cutaneous mucormycosis,{DOID:0050086}
male reproductive organ benign neoplasm,{DOID:0060087}
scott craniodigital syndrome with mental retardation,{DOID:0112194}
immunodeficiency 11a,{DOID:0111957}
immunodeficiency 11b,{DOID:0111958}
"46,xy dsd due to complete lh receptor inactivation",{DOID:0112260}
de barsy syndrome a,{DOID:0070132}
de barsy syndrome b,{DOID:0070138}
cardiac sarcoma,{DOID:5262}
baraitser-burn syndrome,{DOID:0060374}
bladder exstrophy,{DOID:0080174}
obsolete pulmonary vascular disorder,{DOID:5455}
mixed tumor,{DOID:154}
cd3delta deficiency,{DOID:0060016}
malignant oculomotor nerve tumor,{DOID:2816}
condylomatous carcinoma of penis,{DOID:7739}
proliferative fasciitis,{DOID:9599}
downs syndrome,{DOID:14250}
renal cell carcinoma,{DOID:4450}
spiradenoma,{DOID:5444}
fascioloidiasis,{DOID:1217}
chest wall lymphoma,{DOID:6758}
myocarditis due to toxoplasmosis,{DOID:13338}
obsolete spitz nevus,{DOID:7468}
pediatric supratentorial ependymoblastoma,{DOID:7502}
x-linked ichthyosis with steryl-sulphatase deficiency,{DOID:1700}
polycystic kidney disease 1,{DOID:0110858}
polycystic kidney disease 2,{DOID:0110859}
polycystic kidney disease 3,{DOID:0110860}
polycystic kidney disease 4,{DOID:0080212}
polycystic kidney disease 5,{DOID:0080273}
strictly posterior acute myocardial infarction,{DOID:9407}
salivary gland carcinoma,{DOID:0050904}
obsolete toxic gastroenteritis and colitis,{DOID:8530}
hereditary congenital controlateral synkinesia,{DOID:0111153}
corneal dystrophy-perceptive deafness syndrome,{DOID:0111620}
choroid plexus carcinoma,{DOID:5648}
conjunctival diphtheria (disorder),{DOID:13307}
x-linked intellectual developmental disorder 109,{DOID:0080984}
x-linked intellectual developmental disorder 108,{DOID:0111844}
"spondylometaphyseal dysplasia, schmidt type",{DOID:0112296}
mddgc7,{DOID:0110295}
mddgc5,{DOID:0110299}
mddgc4,{DOID:0110296}
mddgc3,{DOID:0110292}
mddgc2,{DOID:0112382}
pseudomembranous colitis,{DOID:0060185}
degenerative disc disease,{DOID:90}
"latent schizophrenia, chronic state",{DOID:11309}
orbital tumor,{DOID:4143}
hemarthrosis of the hand,{DOID:801}
mumps orchitis (disorder),{DOID:10305}
malignant tumor of neck (disorder),{DOID:1112}
eumycotic mycetoma,{DOID:13078}
essential tremor,{DOID:4990}
chondromalacia of patella,{DOID:13357}
cerebral creatine deficiency syndrome,{DOID:0050798}
salpingitis isthmica nodosa,{DOID:5730}
roundworm,{DOID:3106}
pediculus humanus capitis infestation,{DOID:5501}
anal and rectal ulcer,{DOID:13662}
bilateral meningioma of the optic nerve,{DOID:6335}
hodgkin's granuloma of lymph nodes of axilla and/or upper limb (disorder),{DOID:8903}
campomelic dysplasia,{DOID:0050463}
pantothenate kinase-associated neurodegeneration,{DOID:3981}
multisystem inflammatory disorder in children and adolescents,{DOID:0080711}
primary microcephaly,{DOID:0070297}
juvenile osteochondrosis of hip and/or pelvis,{DOID:14415}
spinal muscular atrophy with arthrogryposis,{DOID:0111827}
loiasis,{DOID:13523}
plexopathy,{DOID:3688}
mendelian susceptibility to mycobacterial diseases due to complete interferon gamma receptor 2 deficiency,{DOID:0111995}
gulf war syndrome,{DOID:4491}
childhood testicular mixed germ cell tumor,{DOID:6161}
ca penis,{DOID:11615}
intracerebral cystic meningioma,{DOID:6113}
midborderline leprosy,{DOID:1023}
sotos syndrome 1,{DOID:0112103}
sotos syndrome 3,{DOID:0112104}
sotos syndrome 2,{DOID:0112102}
spoan syndrome,{DOID:0060491}
gangliosidosis gm2,{DOID:3321}
mixed tumor of the salivary gland,{DOID:452}
sarcosine dehydrogenase complex deficiency,{DOID:0112307}
persistent sore throat,{DOID:2275}
mc4dn19,{DOID:0070504}
fifth disease,{DOID:8743}
breast juvenile papillomatosis,{DOID:6641}
koolen-de vries syndrome,{DOID:0050880}
lung meningioma,{DOID:5764}
anteroseptal myocardial infarction,{DOID:5855}
brain stem cancer,{DOID:4203}
neoplasm of occipital lobe,{DOID:910}
mc4dn10,{DOID:0070496}
vogt-koyanagi-harada disease,{DOID:12297}
